"de","en"
"Informationen von Auskunfteien__Beziehungen zu anderen Finanzinstituten","Information from information__Relations with other financial institutions"
"Transaktionsdaten__Artikelbeschreibung","Transaction data__Article description"
"Transaktionsdaten__Menge","Transaction data__Quantity"
"Transaktionsdaten__Preis","Transaction data__Price"
"Transaktionsdaten__Währung","Transaction data__Currency"
"Transaktionsdaten__Lieferadresse","Transaction data__Delivery address"
"Transaktionsdaten__Online-Warenkorbinformationen","Transaction data__Online Basket Information"
"Transaktionsdaten__Verkäufer- und Käuferinformationen","Transaction data__Seller and buyer information"
"Transaktionsdaten__Zahlungsinformationen","Transaction data__Payment information"
"Informationen zu den gesetzlichen Vorschriften__Informationen zu den gesetzlichen Vorschriften","Information on legal regulations__Information on legal regulations"
"Technische Nutzungsdaten von Cookies__Antwortzeit für Webseiten","Technical usage data of cookies__Response time for websites"
"Technische Nutzungsdaten von Cookies__Download-Fehler","Technical usage data of cookies__Download error"
"Technische Nutzungsdaten von Cookies__Datum und Uhrzeit Ihrer Nutzung","Technical usage data of cookies__Date and time of use"
"Informationen von Ihrem Gerät__Spracheinstellungen","Information from your device__Language settings"
"Informationen von Ihrem Gerät__IP-Adresse","Information from your device__IP address"
"Informationen von Ihrem Gerät__Datum und Uhrzeit Ihrer Nutzung","Information from your device__Date and time of use"
"Informationen von Ihrem Gerät__Browser-ID","Information from your device__Browser ID"
"Informationen von Ihrem Gerät__Geräte-ID","Information from your device__Device ID"
"Informationen von Ihrem Gerät__Cookie-Einstellungen","Information from your device__Cookie settings"
"Informationen von Ihrem Gerät__Zeitzone","Information from your device__Time zone"
"Informationen von Ihrem Gerät__Betriebssystem","Information from your device__Operating system"
"Informationen von Ihrem Gerät__Plattform","Information from your device__Platform"
"Informationen von Ihrem Gerät__Bildschirmauflösung","Information from your device__Screen resolution"
"Informationen von Ihrem Gerät__Daten, die von Cookies oder anderen Tracking-Technologien erfasst werden","Information from your device__Data collected by cookies or other tracking technologies"
"Standortinformationen__Breitengrad","Location information__Width"
"Standortinformationen__Längengrad","Location information__Longitude"
"Standortinformationen__GPS-Informationen","Location information__GPS information"
"Abgeleitete Daten__Abgeleitete Daten","Derived data__Derived data"
